# SEGGER J-Link RTT Viewer V6.00e Terminal Log File
# Compiled: 09:38:54 on Aug  4 2016
# Logging started @ 19 Oct 2017 14:36:40
 0> UPPER: NUM:155, node:78 <--- 93, lc:66
 0> UPPER: NUM:155, node:78 <--- 57, lc:5
 0> UPPER: NUM:155, node:78 <--- 32, lc:15
 0> UPPER: NUM:156, node:78 <--- 89, lc:5
 0> UPPER: NUM:156, node:78 <--- 93, lc:66
 0> UPPER: NUM:156, node:78 <--- 57, lc:5
 0> UPPER: NUM:156, node:78 <--- 32, lc:15
 0> HELLO LOST: node:78 not rx hello very many time from 44, delete 44,
 0> UPPER: NUM:157, node:78 <--- 89, lc:5
 0> UPPER: NUM:157, node:78 <--- 57, lc:5
 0> UPPER: NUM:157, node:78 <--- 32, lc:15
 0> UPPER: NUM:158, node:78 <--- 89, lc:5
 0> UPPER: NUM:158, node:78 <--- 57, lc:5
 0> UPPER: NUM:158, node:78 <--- 32, lc:14
 0> UPPER: NUM:159, node:78 <--- 89, lc:5
 0> UPPER: NUM:159, node:78 <--- 57, lc:5
 0> UPPER: NUM:159, node:78 <--- 32, lc:15
 0> UPPER: NUM:160, node:78 <--- 89, lc:5
 0> UPPER: NUM:160, node:78 <--- 57, lc:5
 0> UPPER: NUM:160, node:78 <--- 32, lc:15
 0> UPPER: NUM:161, node:78 <--- 89, lc:5
 0> UPPER: NUM:161, node:78 <--- 57, lc:5
 0> UPPER: NUM:161, node:78 <--- 32, lc:15
 0> UPPER: NUM:162, node:78 <--- 89, lc:5
 0> UPPER: NUM:162, node:78 <--- 93, lc:68
 0> UPPER: NUM:162, node:78 <--- 57, lc:5
 0> UPPER: NUM:162, node:78 <--- 32, lc:15
 0> UPPER: NUM:163, node:78 <--- 89, lc:5
 0> UPPER: NUM:163, node:78 <--- 57, lc:5
 0> UPPER: NUM:163, node:78 <--- 32, lc:15
 0> UPPER: NUM:164, node:78 <--- 89, lc:5
 0> UPPER: NUM:164, node:78 <--- 57, lc:5
 0> UPPER: NUM:164, node:78 <--- 32, lc:15
 0> UPPER: NUM:165, node:78 <--- 89, lc:5
 0> UPPER: NUM:165, node:78 <--- 93, lc:67
 0> UPPER: NUM:165, node:78 <--- 57, lc:5
 0> UPPER: NUM:165, node:78 <--- 32, lc:15
 0> UPPER: NUM:166, node:78 <--- 89, lc:5
 0> UPPER: NUM:166, node:78 <--- 57, lc:5
 0> UPPER: NUM:166, node:78 <--- 32, lc:15
 0> UPPER: NUM:167, node:78 <--- 89, lc:5
 0> UPPER: NUM:167, node:78 <--- 57, lc:5
 0> UPPER: NUM:167, node:78 <--- 32, lc:15
  < AT+PLCHOPDEBUG=0x11
 0> AT+PLCHOPDEBUG=0x11
 0> 
 0> OK
  < AT+PLCHOPDEBUG=17
 0> AT+PLCHOPDEBUG=17
 0> 
 0> OK
 0> rssi:    3488 from src node:89 
 0> UPPER: NUM:188, node:78 <--- 89, lc:5
 0> rssi:    30D6 from src node:57 
 0> UPPER: NUM:188, node:78 <--- 57, lc:5
 0> rssi:     8C1 from src node:32 
 0> UPPER: NUM:188, node:78 <--- 32, lc:15
 0> UPPER_TX_ACK: NUM:201, Last NUM:180
 0> rssi:    349B from src node:89 
 0> UPPER: NUM:189, node:78 <--- 89, lc:5
 0> rssi:    30EA from src node:57 
 0> UPPER: NUM:189, node:78 <--- 57, lc:5
 0> rssi:     8F0 from src node:32 
 0> UPPER: NUM:189, node:78 <--- 32, lc:15
 0> rssi:    345C from src node:89 
 0> UPPER: NUM:190, node:78 <--- 89, lc:5
 0> rssi:     1A4 from src node:93 
 0> UPPER: NUM:190, node:78 <--- 93, lc:66
 0> rssi:    30D0 from src node:57 
 0> UPPER: NUM:190, node:78 <--- 57, lc:5
 0> rssi:     8C5 from src node:32 
 0> UPPER: NUM:190, node:78 <--- 32, lc:15
 0> rssi:    346B from src node:89 
 0> UPPER: NUM:191, node:78 <--- 89, lc:5
 0> rssi:    30C9 from src node:57 
 0> UPPER: NUM:191, node:78 <--- 57, lc:5
 0> rssi:     8C0 from src node:32 
 0> UPPER: NUM:191, node:78 <--- 32, lc:15
 0> rssi:    3464 from src node:89 
 0> UPPER: NUM:192, node:78 <--- 89, lc:5
 0> rssi:    30C9 from src node:57 
 0> UPPER: NUM:192, node:78 <--- 57, lc:5
 0> rssi:     8E0 from src node:32 
 0> UPPER: NUM:192, node:78 <--- 32, lc:15
 0> rssi:    34B0 from src node:89 
 0> UPPER: NUM:193, node:78 <--- 89, lc:5
 0> rssi:     198 from src node:93 
 0> UPPER: NUM:193, node:78 <--- 93, lc:67
 0> rssi:    30BC from src node:57 
 0> UPPER: NUM:193, node:78 <--- 57, lc:5
 0> rssi:     8CC from src node:32 
 0> UPPER: NUM:193, node:78 <--- 32, lc:15
 0> rssi:    349E from src node:89 
 0> UPPER: NUM:194, node:78 <--- 89, lc:5
 0> rssi:     1A4 from src node:93 
 0> UPPER: NUM:194, node:78 <--- 93, lc:66
 0> rssi:    30CB from src node:57 
 0> UPPER: NUM:194, node:78 <--- 57, lc:5
 0> rssi:     8BE from src node:32 
 0> UPPER: NUM:194, node:78 <--- 32, lc:15
 0> rssi:      D7 from src node:44 
 0> UPPER: NUM:179, node:78 <--- 44, lc:79
 0> rssi:    3456 from src node:89 
 0> UPPER: NUM:195, node:78 <--- 89, lc:5
 0> rssi:    30D7 from src node:57 
 0> UPPER: NUM:195, node:78 <--- 57, lc:5
 0> rssi:     8DE from src node:32 
 0> UPPER: NUM:195, node:78 <--- 32, lc:15
 0> rssi:    3456 from src node:89 
 0> UPPER: NUM:196, node:78 <--- 89, lc:5
 0> rssi:    30F3 from src node:57 
 0> UPPER: NUM:196, node:78 <--- 57, lc:5
 0> rssi:     8E0 from src node:32 
 0> UPPER: NUM:196, node:78 <--- 32, lc:15
